p001,2024-03-01 06:00:00,10,70,20,76,781,0,正常,正常,正常
p002,2024-03-01 06:00:00,10,66,25,76,834,0,正常,正常,正常
p003,2024-03-01 06:00:00,100,54,19,69,739,0,正常,正常,正常
p004,2024-03-01 06:00:00,10,53,22,78,689,0,正常,正常,正常
p005,2024-03-01 06:00:00,10,66,24,78,801,0,正常,正常,正常
p006,2024-03-01 06:00:00,10,64,16,69,745,0,正常,异常,正常
p001,2024-03-01 07:00:00,12,70,16,79,651,0,正常,正常,正常
p002,2024-03-01 07:00:00,11,70,23,76,730,0,正常,正常,正常
p003,2024-03-01 07:00:00,110,56,19,62,688,0,正常,正常,正常
p004,2024-03-01 07:00:00,11,63,17,79,603,0,正常,正常,正常
p005,2024-03-01 07:00:00,11,60,25,83,833,0,正常,正常,正常
p006,2024-03-01 07:00:00,11,59,19,74,722,0,正常,正常,正常
p001,2024-03-01 08:00:00,14,66,18,73,709,28945,正常,正常,正常
p002,2024-03-01 08:00:00,12,75,18,78,725,31282,正常,正常,正常
p003,2024-03-01 08:00:00,12,60,22,74,748,23250,正常,正常,正常
p004,2024-03-01 08:00:00,12,65,15,80,795,26421,正常,正常,正常
p005,2024-03-01 08:00:00,12,73,22,78,745,29843,正常,正常,正常
p006,2024-03-01 08:00:00,12,57,16,80,680,20946,正常,正常,正常
p001,2024-03-01 09:00:00,16,56,18,77,764,24951,正常,正常,正常
p002,2024-03-01 09:00:00,13,55,25,70,837,27739,正常,正常,正常
p003,2024-03-01 09:00:00,13,57,21,80,711,21527,正常,正常,正常
p004,2024-03-01 09:00:00,13,53,17,79,702,24246,正常,正常,正常
p005,2024-03-01 09:00:00,13,59,22,83,785,30795,正常,正常,正常
p006,2024-03-01 09:00:00,13,61,16,70,749,27017,正常,正常,正常
p001,2024-03-01 10:00:00,18,64,20,68,647,20340,正常,正常,正常
p002,2024-03-01 10:00:00,14,75,23,79,869,30221,正常,正常,正常
p003,2024-03-01 10:00:00,14,51,18,64,780,20349,正常,正常,正常
p004,2024-03-01 10:00:00,14,68,15,63,617,25125,正常,正常,正常
p005,2024-03-01 10:00:00,14,63,20,79,734,29386,正常,正常,正常
p006,2024-03-01 10:00:00,14,53,20,74,794,25193,正常,正常,正常
p001,2024-03-01 11:00:00,20,56,20,79,748,29752,正常,正常,正常
p002,2024-03-01 11:00:00,15,70,21,73,792,26879,正常,正常,正常
p003,2024-03-01 11:00:00,15,68,21,68,683,24441,正常,正常,正常
p004,2024-03-01 11:00:00,15,58,22,66,774,27829,正常,正常,正常
p005,2024-03-01 11:00:00,15,61,22,85,825,26103,正常,正常,正常
p006,2024-03-01 11:00:00,15,69,18,65,782,24208,正常,正常,正常
p001,2024-03-01 12:00:00,22,54,16,61,676,22371,正常,正常,正常
p002,2024-03-01 12:00:00,16,61,24,76,761,30575,正常,正常,正常
p003,2024-03-01 12:00:00,16,68,20,74,693,25548,正常,正常,正常
p004,2024-03-01 12:00:00,16,61,21,66,740,24427,正常,正常,正常
p005,2024-03-01 12:00:00,16,67,20,84,815,28234,正常,正常,正常
p006,2024-03-01 12:00:00,16,56,15,71,748,28121,正常,正常,正常
p001,2024-03-01 13:00:00,28,66,16,77,624,20976,正常,正常,正常
p002,2024-03-01 13:00:00,21,69,23,84,741,29356,正常,正常,正常
p003,2024-03-01 13:00:00,21,59,17,75,743,21498,正常,正常,正常
p004,2024-03-01 13:00:00,21,62,18,71,639,29129,正常,正常,正常
p005,2024-03-01 13:00:00,21,67,25,83,833,29672,正常,正常,正常
p006,2024-03-01 13:00:00,21,69,19,63,693,28909,正常,正常,正常
p001,2024-03-01 14:00:00,26,60,15,74,781,29701,正常,正常,正常
p002,2024-03-01 14:00:00,20,56,20,75,814,31781,正常,正常,正常
p003,2024-03-01 14:00:00,20,65,22,64,754,23797,正常,正常,正常
p004,2024-03-01 14:00:00,20,61,16,64,675,22310,正常,正常,正常
p005,2024-03-01 14:00:00,20,67,19,66,821,26489,正常,正常,正常
p006,2024-03-01 14:00:00,20,69,17,72,655,20396,正常,正常,正常
p001,2024-03-01 15:00:00,24,52,15,76,772,22021,正常,正常,正常
p002,2024-03-01 15:00:00,19,59,24,72,731,26574,正常,正常,正常
p003,2024-03-01 15:00:00,19,50,21,72,759,28610,正常,正常,正常
p004,2024-03-01 15:00:00,19,69,15,66,649,24353,正常,正常,正常
p005,2024-03-01 15:00:00,19,56,21,75,818,29989,正常,正常,正常
p006,2024-03-01 15:00:00,19,67,15,69,671,29003,正常,正常,正常
p001,2024-03-01 16:00:00,22,51,18,62,645,23946,正常,正常,正常
p002,2024-03-01 16:00:00,18,60,23,82,804,26747,正常,正常,正常
p003,2024-03-01 16:00:00,18,57,15,72,743,25676,正常,正常,正常
p004,2024-03-01 16:00:00,18,61,20,78,773,21408,正常,正常,正常
p005,2024-03-01 16:00:00,18,66,22,77,893,30786,正常,正常,正常
p006,2024-03-01 16:00:00,18,66,20,78,661,29952,正常,正常,正常
p001,2024-03-01 17:00:00,20,67,16,80,682,0,正常,正常,正常
p002,2024-03-01 17:00:00,17,59,23,67,830,0,正常,正常,正常
p003,2024-03-01 17:00:00,17,66,18,65,765,0,正常,正常,正常
p004,2024-03-01 17:00:00,17,60,19,67,676,0,正常,正常,正常
p005,2024-03-01 17:00:00,17,55,18,83,721,0,正常,正常,正常
p006,2024-03-01 17:00:00,17,50,15,64,714,0,正常,正常,正常
p001,2024-03-01 18:00:00,18,70,15,63,773,0,正常,正常,正常
p002,2024-03-01 18:00:00,16,61,23,74,757,0,正常,正常,正常
p003,2024-03-01 18:00:00,16,70,15,68,635,0,正常,正常,正常
p004,2024-03-01 18:00:00,16,55,20,67,674,0,正常,正常,正常
p005,2024-03-01 18:00:00,16,62,20,78,739,0,正常,正常,正常
p006,2024-03-01 18:00:00,16,54,15,72,634,0,正常,正常,正常
p001,2024-03-01 19:00:00,16,63,18,60,724,0,正常,正常,正常
p002,2024-03-01 19:00:00,15,61,20,71,880,0,正常,正常,正常
p003,2024-03-01 19:00:00,15,59,19,65,610,0,正常,正常,正常
p004,2024-03-01 19:00:00,15,54,18,64,680,0,正常,正常,正常
p005,2024-03-01 19:00:00,15,55,21,73,717,0,正常,正常,正常
p006,2024-03-01 19:00:00,15,53,20,70,778,0,正常,正常,正常
p001,2024-03-01 20:00:00,14,64,17,72,793,0,正常,正常,正常
p002,2024-03-01 20:00:00,14,67,20,81,888,0,正常,正常,正常
p003,2024-03-01 20:00:00,14,60,21,76,638,0,正常,正常,正常
p004,2024-03-01 20:00:00,14,69,22,63,646,0,正常,正常,正常
p005,2024-03-01 20:00:00,14,60,23,83,808,0,正常,正常,正常
